CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
ClCCN(N=O)C(=O)NC(C)C(=O)N,SarCNU,9.0,,17.6,,0.76,,0.81,,,,,,CC(NC(=O)[NH+](CCCl)N=O)C(N)=O,"InChI=1S/C6H11ClN4O3/c1-4(5(8)12)9-6(13)11(10-14)3-2-7/h4H,2-3H2,1H3,(H2,8,12)(H,9,13)/p+1",223.05924434409
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C(=O)O)=C(S2)SCCOC(=O)N,Sch34343,7.5,22.8,8.9,6.7,0.3,0.14,0.24,0.21,0.35,,,,C[C@@H](O)C1C(=O)[NH+]2C(C(=O)[O-])=C(SCCOC(N)=O)S[C@H]12,"InChI=1S/C11H14N2O6S2/c1-4(14)5-7(15)13-6(9(16)17)10(21-8(5)13)20-3-2-19-11(12)18/h4-5,8,14H,2-3H2,1H3,(H2,12,18)(H,16,17)/t4-,5?,8-/m1/s1",334.02932816799995
C#CCN(C)[C@H](C)Cc1ccccc1,Selegiline,20.0,,160.0,,1.9,,9.46,,0.13,0.31,,,C#CC[NH+](C)[C@H](C)Cc1ccccc1,"InChI=1S/C13H17N/c1-4-10-14(3)12(2)11-13-8-6-5-7-9-13/h1,5-9,12H,10-11H2,2-3H3/p+1/t12-/m1/s1",188.14337599609
O=S(=O)(C)Nc1ccc(cc1)C(=O)NCCN(CC)CC,Sematilide,3.7,25.6,9.0,,0.82,2.08,1.4,,0.96,0.91,0.95,,CC[NH+](CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,"InChI=1S/C14H23N3O3S/c1-4-17(5-2)11-10-15-14(18)12-6-8-13(9-7-12)16-21(3,19)20/h6-9,16H,4-5,10-11H2,1-3H3,(H,15,18)/p+1",314.15328904808996
c1cccc(c12)/C(C(=O)N2)=C/c3[nH]c(C)cc3C,Semaxanib,14.0,45.0,52.0,27.7,0.98,1.6,1.4,1.63,0.008,0.007,,,C=c1cc(C)[nH]c1=Cc1c(O)[nH]c2ccccc12,"InChI=1S/C15H14N2O/c1-9-7-10(2)16-14(9)8-12-11-5-3-4-6-13(11)17-15(12)18/h3-8,16-18H,1H2,2H3",238.110613068
CN1CCN(CC1)S(=O)(=O)c2cc(c(cc2)OCC)-c(nc3=O)[nH]c(c34)c(nn4C)CCC,Sildefil,9.1,48.0,12.0,,1.4,1.1,5.2,,0.04,0.05,0.14,,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)[NH+]4CC[NH+](C)CC4)ccc3OCC)[n-]c12,"InChI=1S/C22H30N6O4S/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29)/p+1",475.21220089209004
c1cccc(c12)C(=O)N(CO2)CCO[N+]([O-])=O,Sinitrodil,29.59,84.9,63.7,26.3,0.68,1.99,1.18,0.98,,,,,O=C1c2ccccc2OC[NH+]1CCO[N+](=O)[O-],"InChI=1S/C10H10N2O5/c13-10-8-3-1-2-4-9(8)16-7-11(10)5-6-17-12(14)15/h1-4H,5-7H2/p+1",239.06624787209
FC(F)(F)c(nn1)n(c12)CCN(C2)C(=O)C[C@H](N)Cc3c(F)cc(F)c(F)c3,Sitagliptin,6.0,45.0,9.1,,2.8,8.1,3.3,,0.62,0.68,0.5561,,[NH3+][C@@H](CC(=O)[NH+]1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,"InChI=1S/C16H15F6N5O/c17-10-6-12(19)11(18)4-8(10)3-9(23)5-14(28)26-1-2-27-13(7-26)24-25-15(27)16(20,21)22/h4,6,9H,1-3,5,7,23H2/p+2/t9-/m1/s1",409.13263232418
O=S(=O)(C)Nc1ccc(cc1)C(O)CNC(C)C,Sotalol,2.0,,14.7,,1.3,,,,0.62,,,,CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,"InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3/p+1",273.12673995209
C[C@@H]1CN(C[C@@H](N1)C)c(c(F)c2N)c(F)c(c23)n(C4CC4)cc(c3=O)C(=O)O,Sparfloxacin,2.7,19.6,,,3.9,3.5,,,0.55,0.5,,,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2F)C[C@H](C)[NH2+]1,"InChI=1S/C19H22F2N4O3/c1-8-5-24(6-9(2)23-8)17-13(20)15(22)12-16(14(17)21)25(10-3-4-10)7-11(18(12)26)19(27)28/h7-10,23H,3-6,22H2,1-2H3,(H,27,28)/t8-,9+",392.165997004
OP(=O)(O)CC(=O)N[C@H](C(=O)O)CC(=O)O,Sparfosic Acid,1.22,17.4,4.1,2.3,0.33,1.1,0.29,0.2,,,,,O=C([O-])CC(NC(=O)CP(=O)([O-])[O-])C(=O)[O-],"InChI=1S/C6H10NO8P/c8-4(2-16(13,14)15)7-3(6(11)12)1-5(9)10/h3H,1-2H2,(H,7,8)(H,9,10)(H,11,12)(H2,13,14,15)/p-4",250.98529710164004
OC[C@@H]1C=C[C@@H](O1)n2cc(C)c(=O)[nH]c2=O,Stavudine,8.2,20.2,,9.4,0.67,1.09,,0.8,1.0,0.9,0.9,0.9,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[n-]c1=O,"InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)/p-1/t7-,8+/m0/s1",223.07243041191
C1C(=O)N([C@@H]12)[C@@H](C(=O)O)C(C)(C)S2(=O)=O,Sulbactam,5.1,,3.56,,0.32,,0.34,,0.62,,,,CC1(C)C(C(=O)[O-])[NH+]2C(=O)C[C@H]2S1(=O)=O,"InChI=1S/C8H11NO5S/c1-8(2)6(7(11)12)9-4(10)3-5(9)15(8,13)14/h5-6H,3H2,1-2H3,(H,11,12)/t5-,6?/m1/s1",233.035793452
Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,Sulfadiazine,0.55,1.1,,0.64,0.29,0.34,,0.5,0.44,0.86,0.78,0.4629,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",250.05244656
c1ccccc1S(=O)CCC2C(=O)N(c3ccccc3)N(C2=O)c4ccccc4,Sulfinpyrazone,0.34,0.46,0.84,0.45,0.12,0.43,0.21,0.12,0.017,0.0031,0.0386,0.0185,O=c1c(CC[S+](O)c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1,"InChI=1S/C23H20N2O3S/c26-22-21(16-17-29(28)20-14-8-3-9-15-20)23(27)25(19-12-6-2-7-13-19)24(22)18-10-4-1-5-11-18/h1-15,28H,16-17H2/p+1",405.1267399520901
Nc1ccc(cc1)S(=O)(=O)Nc2onc(C)c2C,Sulfisoxazole,0.3,0.65,1.38,,0.17,0.25,0.86,,0.079,0.056,0.6,,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,"InChI=1S/C11H13N3O3S/c1-7-8(2)13-17-11(7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6,14H,12H2,1-2H3",267.067762276
CNS(=O)(=O)Cc(cc1)cc(c12)c(c[nH]2)CCN(C)C,Sumatriptan,19.0,28.0,13.9,,1.7,1.15,1.74,,0.83,0.85,0.86,,CNS(=O)(=O)Cc1ccc2[nH]cc(CC[NH+](C)C)c2c1,"InChI=1S/C14H21N3O2S/c1-15-20(18,19)10-11-4-5-14-13(8-11)12(9-16-14)6-7-17(2)3/h4-5,8-9,15-16H,6-7,10H2,1-3H3/p+1",296.14272436409
Cc1cccnc1NS(=O)(=O)c2ccc(cc2)C#Cc3cc(C(=O)O)c(O)cc3,Susalimod,0.07,62.0,20.0,1.9,0.1,1.2,0.19,0.08,0.0019,0.0033,0.01,0.003,Cc1cccnc1NS(=O)(=O)c1ccc(C#Cc2ccc([O-])c(C(=O)[O-])c2)cc1,"InChI=1S/C21H16N2O5S/c1-14-3-2-12-22-20(14)23-29(27,28)17-9-6-15(7-10-17)4-5-16-8-11-19(24)18(13-16)21(25)26/h2-3,6-13,24H,1H3,(H,22,23)(H,25,26)/p-2",406.06343970781995
C1CCCCC1NC(=O)Nc2ccc(cc2)OCC(O)CNC(C)(C)C,Talinolol,4.9,47.5,,,3.3,4.5,,,0.39,,,,CC(C)(C)[NH2+]CC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,"InChI=1S/C20H33N3O3/c1-20(2,3)21-13-17(24)14-26-18-11-9-16(10-12-18)23-19(25)22-15-7-5-4-6-8-15/h9-12,15,17,21,24H,4-8,13-14H2,1-3H3,(H2,22,23,25)/p+1",364.25946836809
COc1ccc(cc1S(=O)(=O)N)C[C@@H](C)NCCOc2c(OCC)cccc2,Tamsulosin,0.62,82.2,19.3,,0.21,3.25,1.74,,0.01,0.24,0.1,,CCOc1ccccc1OCC[NH2+][C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,"InChI=1S/C20H28N2O5S/c1-4-26-17-7-5-6-8-18(17)27-12-11-22-15(2)13-16-9-10-19(25-3)20(14-16)28(21,23)24/h5-10,14-15,22H,4,11-13H2,1-3H3,(H2,21,23,24)/p+1/t15-/m1/s1",409.17916944809
CC(C)(C)c1c(O)c(C(C)(C)C)cc(c1)C(=O)CCCC#C,Tebufelone,8.9,41.35,30.9,14.9,12.0,7.9,24.8,10.4,0.0007,,,,C#CCCCC(=O)c1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1,"InChI=1S/C20H28O2/c1-8-9-10-11-17(21)14-12-15(19(2,3)4)18(22)16(13-14)20(5,6)7/h1,12-13,22H,9-11H2,2-7H3/p-1",299.20165368391
n1nn(C)c(=O)n(c12)cnc2C(=O)N,Temozolomide,3.6,9.8,,,0.5,0.92,,,,,,,Cn1nnc2c(C(N)=O)ncn2c1=O,"InChI=1S/C6H6N6O2/c1-11-6(14)12-2-8-3(4(7)13)5(12)9-10-11/h2H,1H3,(H2,7,13)",194.055223432
OP(=O)(O)CO[C@H](C)Cn(cn1)c(c12)ncnc2N,Tenofovir,3.1,,5.9,16.2,0.83,,0.9,,0.93,,,,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)([O-])[O-],"InChI=1S/C9H14N5O4P/c1-6(18-5-19(15,16)17)2-14-4-13-7-8(10)11-3-12-9(7)14/h3-4,6H,2,5H2,1H3,(H2,10,11,12)(H2,15,16,17)/p-2/t6-/m1/s1",285.06378765382
s1ccc(c12)S(=O)(=O)N(C)C(=C2O)C(=O)Nc3ncccc3,Tenoxicam,0.03,0.47,,,0.19,0.22,,,0.0085,0.03,,,C[NH+]1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,"InChI=1S/C13H11N3O4S2/c1-16-10(13(18)15-9-4-2-3-6-14-9)11(17)12-8(5-7-21-12)22(16,19)20/h2-7,10H,1H3,(H,14,15,18)/p+1",338.0263742840899
O1CCCC1C(=O)N2CCN(CC2)c(nc3N)nc(c34)cc(OC)c(c4)OC,Terazosin,1.1,24.7,,,0.98,2.0,,,0.08,,,,COc1cc2nc(N3CC[NH+](C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,"InChI=1S/C19H25N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h10-11,14H,3-9H2,1-2H3,(H2,20,21,22)/p+1",388.19793073209
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,Terbutaline,3.4,60.0,,,1.5,3.3,,,0.75,,,,CC(C)(C)[NH2+]CC(O)c1cc([O-])cc([O-])c1,"InChI=1S/C12H19NO3/c1-12(2,3)13-7-11(16)8-4-9(14)6-10(15)5-8/h4-6,11,13-16H,7H2,1-3H3/p-1",224.12921701591
c1ccccc1C(CC(C)NC(C)(C)C)c2ccccc2,Terodiline,1.1,,41.0,,5.1,,,,0.08,,0.14,,CC(CC(c1ccccc1)c1ccccc1)[NH2+]C(C)(C)C,"InChI=1S/C20H27N/c1-16(21-20(2,3)4)15-19(17-11-7-5-8-12-17)18-13-9-6-10-14-18/h5-14,16,19,21H,15H2,1-4H3/p+1",282.22162631609
OC1=C(C(=O)N)C(=O)[C@@H](N(C)C)[C@@H]([C@@]12O)C[C@H]3C(C2=O)=C(O)c4c([C@]3(O)C)cccc4O,Tetracycline,1.5,18.7,,,1.2,2.2,,,0.78,,,,C[NH+](C)C1C(=O)C(C(N)=O)=C([O-])[C@@]2(O)C(=O)C3=C([O-])c4c([O-])cccc4[C@@](C)(O)[C@H]3C[C@@H]12,"InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,29,31-32H,7H2,1-3H3,(H2,23,30)/p-2/t9-,10-,15?,21+,22-/m0/s1",442.13871282381996
CC(C)c1ccc(nc1)S(=O)(=O)Nc2nc(-c3cc(ncc3)-c4n[nH]nn4)nc(OCCO)c2Oc5c(OC)cccc5,Tezosentan,8.1,4.3,,15.6,0.28,0.27,,0.21,0.0085,,,,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[n-]n3)c2)nc1OCCO,"InChI=1S/C27H26N9O6S/c1-16(2)18-8-9-22(29-15-18)43(38,39)34-26-23(42-21-7-5-4-6-20(21)40-3)27(41-13-12-37)31-24(30-26)17-10-11-28-19(14-17)25-32-35-36-33-25/h4-11,14-16,37H,12-13H2,1-3H3,(H-,30,31,32,33,34,35,36)/q-1",604.1732241319103
[nH]1cnc(c12)n(C)c(=O)n(C)c2=O,Theophylline,0.86,2.25,1.8,3.8,0.51,0.55,0.68,0.69,0.61,0.37,0.8635,0.684,Cn1c(=O)c2[n-]cnc2n(C)c1=O,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9,12)/p-1",179.05744904391
Cc1ccsc1C(c2sccc2C)=CCC[NH+]3C[C@H](C([O-])=O)CCC3,Tiagabine,1.6,89.0,,,1.1,2.05,,,0.04,,,,Cc1ccsc1C(=CCC[NH+]1CCCC(C(=O)[O-])C1)c1sccc1C,"InChI=1S/C20H25NO2S2/c1-14-7-11-24-18(14)17(19-15(2)8-12-25-19)6-4-10-21-9-3-5-16(13-21)20(22)23/h6-8,11-12,16H,3-5,9-10,13H2,1-2H3,(H,22,23)",375.13267104
O=C(N)c1nc(sc1)[C@H]2[C@H](O)[C@H](O)[C@H](O2)CO,Tiazofurin,2.4,6.9,,7.3,1.1,,0.99,2.0,0.4709,,0.85,1.0,NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,"InChI=1S/C9H12N2O5S/c10-8(15)3-2-17-9(11-3)7-6(14)5(13)4(1-12)16-7/h2,4-7,12-14H,1H2,(H2,10,15)/t4-,5-,6-,7-/m1/s1",260.046692484
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](C(=O)O)c3ccsc3,Ticarcillin,1.8,,4.3,,0.16,,0.28,,0.55,,,,CC1(C)S[C@@H]2C(NC(=O)C(C(=O)[O-])c3ccsc3)C(=O)[NH+]2C1C(=O)[O-],"InChI=1S/C15H16N2O6S2/c1-15(2)9(14(22)23)17-11(19)8(12(17)25-15)16-10(18)7(13(20)21)6-3-4-24-5-6/h3-5,7-9,12H,1-2H3,(H,16,18)(H,20,21)(H,22,23)/p-1/t7?,8?,9?,12-/m1/s1",383.03770177991
CCS(=O)(=O)CCn1c(C)ncc1[N+]([O-])=O,Tinidazole,0.6,,1.67,,0.59,,0.89,,0.8,,,,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,"InChI=1S/C8H13N3O4S/c1-3-16(14,15)5-4-10-7(2)9-6-8(10)11(12)13/h6H,3-5H2,1-2H3",247.062676896
CCCCS(=O)(=O)N[C@H](C([O-])=O)Cc1ccc(cc1)OCCCCC2CC[NH2+]CC2,Tirofiban,4.3,,36.44,,0.99,1.42,0.52,,0.36,0.15,0.55,,CCCCS(=O)(=O)NC(Cc1ccc(OCCCCC2CC[NH2+]CC2)cc1)C(=O)[O-],"InChI=1S/C22H36N2O5S/c1-2-3-16-30(27,28)24-21(22(25)26)17-19-7-9-20(10-8-19)29-15-5-4-6-18-11-13-23-14-12-18/h7-10,18,21,23-24H,2-6,11-17H2,1H3,(H,25,26)",440.23449325199994
O[C@@H]1[C@@H](N)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]2[C@@H](O)[C@@H]([C@@H](N)C[C@H]2N)O[C@H]3O[C@H](CN)[C@@H](O)C[C@H]3N,Tobramycin,1.6,15.7,,,0.23,0.68,,,1.0,,,,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O,"InChI=1S/C18H37N5O9/c19-3-9-8(25)2-7(22)17(29-9)31-15-5(20)1-6(21)16(14(15)28)32-18-13(27)11(23)12(26)10(4-24)30-18/h5-18,24-28H,1-4,19-23H2/p+5/t5-,6+,7+,8-,9+,10+,11-,12+,13+,14-,15+,16-,17+,18+/m0/s1",472.29551002445004
NC(C)C(=O)Nc1c(C)cccc1C,Tocainide,2.2,37.8,,,1.8,5.0,,,0.87,,,,Cc1cccc(C)c1NC(=O)C(C)[NH3+],"InChI=1S/C11H16N2O/c1-7-5-4-6-8(2)10(7)13-11(14)9(3)12/h4-6,9H,12H2,1-3H3,(H,13,14)/p+1",193.13353958409
Cc1ccc(cc1)S(=O)(=O)NC(=O)NCCCC,Tolbutamide,0.21,0.42,,,0.12,0.13,,,0.05,0.04,,,CCCC[NH2+]C(=O)[N-]S(=O)(=O)c1ccc(C)cc1,"InChI=1S/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)",270.103813436
Cc1ccc(cc1)C(=O)c2cc([N+]([O-])=O)c(O)c(O)c2,Tolcapone,1.9,8.8,1.9,,0.12,0.21,0.16,,0.0012,,,,Cc1ccc(C(=O)c2cc([O-])c([O-])c([N+](=O)[O-])c2)cc1,"InChI=1S/C14H11NO5/c1-8-2-4-9(5-3-8)13(17)10-6-11(15(19)20)14(18)12(16)7-10/h2-7,16,18H,1H3/p-2",271.04916954782004
O[C@H](C)[C@H]1C(=O)N([C@@H]12)C(C(=O)O)=C([C@@H]2C)S[C@@H]3CN(C)[C@@H](C3)C(=O)N4C[C@H](CC4)NC(=O)CN=C(N)N,Tomopenem,1.9,15.7,3.96,1.7,0.23,0.2,0.25,0.18,0.91,0.95,0.928,0.85,C[C@@H](O)C1C(=O)[NH+]2C(C(=O)[O-])=C(S[C@H]3CC(C(=O)[NH+]4CC[C@H](NC(=O)C[NH+]=C(N)N)C4)[NH+](C)C3)[C@H](C)[C@H]12,"InChI=1S/C23H35N7O6S/c1-10-17-16(11(2)31)21(34)30(17)18(22(35)36)19(10)37-13-6-14(28(3)9-13)20(33)29-5-4-12(8-29)27-15(32)7-26-23(24)25/h10-14,16-17,31H,4-9H2,1-3H3,(H,27,32)(H,35,36)(H4,24,25,26)/p+3/t10-,11-,12+,13+,14?,16?,17-/m1/s1",540.2587821962701
C1OC(=O)[C@](O)(CC)c(c12)cc3n(c2=O)Cc4c3nc5c(c4)c(c(O)cc5)CN(C)C,Topotecan,13.0,34.4,17.6,96.1,1.8,3.08,1.7,7.38,0.65,0.747,,0.8,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c([O-])ccc3nc2-1,"InChI=1S/C23H23N3O5/c1-4-23(30)16-8-18-20-12(9-26(18)21(28)15(16)11-31-22(23)29)7-13-14(10-25(2)3)19(27)6-5-17(13)24-20/h5-8,27,30H,4,9-11H2,1-3H3/t23-/m0/s1",421.163770836
CC(C)NC(=O)NS(=O)(=O)c1c(ccnc1)Nc2cc(C)ccc2,Torsemide,0.53,3.74,0.14,,0.21,0.23,0.08,,0.01,0.06,0.02,,Cc1cccc(Nc2ccncc2S(=O)(=O)[N-]C(=O)[NH2+]C(C)C)c1,"InChI=1S/C16H20N4O3S/c1-11(2)18-16(21)20-24(22,23)15-10-17-8-7-14(15)19-13-6-4-5-12(3)9-13/h4-11H,1-3H3,(H3,17,18,19,20,21)",348.1256115
c1ccc(OC)cc1[C@@]2(O)CCCC[C@@H]2CN(C)C,Tramadol,6.5,63.5,54.63,,2.8,3.86,3.01,,0.8,0.75,0.7454,,COc1cccc([C@@]2(O)CCCC[C@@H]2C[NH+](C)C)c1,"InChI=1S/C16H25NO2/c1-17(2)12-14-7-4-5-10-16(14,18)13-8-6-9-15(11-13)19-3/h6,8-9,11,14,18H,4-5,7,10,12H2,1-3H3/p+1/t14-,16+/m1/s1",264.19580549209
Clc1cccc(c1)N2CCN(CC2)CCCn(n3)c(=O)n(c34)cccc4,Trazodone,1.4,51.8,,,0.52,1.76,,,,0.12,,,O=c1n(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,"InChI=1S/C19H22ClN5O/c20-16-5-3-6-17(15-16)23-13-11-22(12-14-23)8-4-10-25-19(26)24-9-2-1-7-18(24)21-25/h1-3,5-7,9,15H,4,8,10-14H2/p+1",372.15856445609006
CCCCC[C@H](O)CC[C@@H]([C@H](O)C1)[C@H]([C@H]12)Cc3c(C2)c(ccc3)OCC(=O)O,Treprostinil,10.7,,35.8,,0.23,,0.11,,,,,,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)[O-])c3C[C@H]2C[C@H]1O,"InChI=1S/C23H34O5/c1-2-3-4-7-17(24)9-10-18-19-11-15-6-5-8-22(28-14-23(26)27)20(15)12-16(19)13-21(18)25/h5-6,8,16-19,21,24-25H,2-4,7,9-14H2,1H3,(H,26,27)/p-1/t16-,17-,18+,19-,21+/m0/s1",389.23334773590994
c1ccccc1-c(c(n2)N)nc(c23)c(N)nc(n3)N,Triamterene,63.0,10.1,,,13.0,2.2,,,0.42,,,,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,"InChI=1S/C12H11N7/c13-9-7(6-4-2-1-3-5-6)16-8-10(14)18-12(15)19-11(8)17-9/h1-5H,(H6,13,14,15,17,18,19)",253.10759335199998
Clc1ccccc1C2=NCc(nnc3C)n3c(c24)ccc(Cl)c4,Triazolam,3.0,60.8,,,0.58,3.4,,,0.1,,,,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,"InChI=1S/C17H12Cl2N4/c1-10-21-22-16-9-20-17(12-4-2-3-5-14(12)19)13-8-11(18)6-7-15(13)23(10)16/h2-8H,9H2,1H3",342.043901744
COc1c(OC)cc(cc1OC)Cc2c(N)nc(N)nc2,Trimethoprim,2.1,40.0,6.4,,1.5,2.1,1.74,,0.5,0.51,0.708,,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",290.13789043599996
COc1c(OC)cc(cc1OC)NCc(cc2)c(C)c(c23)c(N)nc(n3)N,Trimetrexate,0.77,71.1,33.2,8.5,0.77,9.2,11.7,1.56,0.05,,1.0,0.1,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,"InChI=1S/C19H23N5O3/c1-10-11(5-6-13-16(10)18(20)24-19(21)23-13)9-22-12-7-14(25-2)17(27-4)15(8-12)26-3/h5-8,22H,9H2,1-4H3,(H4,20,21,23,24)",369.18008959599996
O[C@H]1[C@H](NC)[C@H](O)[C@H](NC)[C@@H](O2)[C@@H]1O[C@@H]([C@@]23O)O[C@@H](CC3=O)CCCC,Trospectomycin,1.7,4.28,2.69,,0.7,4.46,49.8,,0.649,0.62,0.5327,,CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H]([NH2+]C)[C@@H](O)[C@@H]([NH2+]C)[C@H](O)[C@H]3O[C@@H]2O1,"InChI=1S/C17H30N2O7/c1-4-5-6-8-7-9(20)17(23)16(24-8)25-15-13(22)10(18-2)12(21)11(19-3)14(15)26-17/h8,10-16,18-19,21-23H,4-7H2,1-3H3/p+2/t8-,10-,11+,12+,13+,14-,15-,16+,17+/m1/s1",376.2198542041799
[NH3+]C1[C@@H]([C@@H]12)CN(C2)c(c(F)c3)nc(c34)n(cc(c4=O)C([O-])=O)-c5c(F)cc(F)cc5,Trovafloxacin,1.4,13.5,9.13,5.93,1.3,0.75,1.37,1.93,0.24,0.07,0.25,0.34,[NH3+]C1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)[O-])cn4-c3ccc(F)cc3F)C[C@@H]12,"InChI=1S/C20H15F3N4O3/c21-8-1-2-15(13(22)3-8)27-7-12(20(29)30)17(28)9-4-14(23)19(25-18(9)27)26-5-10-11(6-26)16(10)24/h1-4,7,10-11,16H,5-6,24H2,(H,29,30)/t10-,11+,16?",416.10962500000005
OC[C@H]1OC[C@H](O1)n2ccc(N)nc2=O,Troxacitabine,2.4,23.0,,,1.0,1.42,,,,,,,Nc1ccn([C@@H]2CO[C@H](CO)O2)c(=O)n1,"InChI=1S/C8H11N3O4/c9-5-1-2-11(8(13)10-5)6-4-14-7(3-12)15-6/h1-2,6-7,12H,3-4H2,(H2,9,10,13)/t6-,7-/m0/s1",213.074955832
C1C[N+](C)(C)[C@@H]2Cc(ccc3O)cc3Oc(c4)c(OC)cc(CCN5C)c4[C@@H]5Cc(cc6)ccc6Oc(c2c17)c(O)c(c7)OC,Tubocurarine,3.4,,3.73,,0.45,,0.37,,0.58,,,,COc1cc2c3cc1Oc1cc(ccc1[O-])C[C@@H]1c4c(cc(OC)c([O-])c4Oc4ccc(cc4)C[C@@H]3[NH+](C)CC2)CC[N+]1(C)C,"InChI=1S/C37H40N2O6/c1-38-14-12-24-19-32(42-4)33-21-27(24)28(38)16-22-6-9-26(10-7-22)44-37-35-25(20-34(43-5)36(37)41)13-15-39(2,3)29(35)17-23-8-11-30(40)31(18-23)45-33/h6-11,18-21,28-29H,12-17H2,1-5H3,(H-,40,41)/t28-,29+/m0/s1",608.288637
